Job ID,Job Name,Start Date,Completion by Date,Resources required,Total Cost,Craft
1008423,test 1,3/3/2022,4/4/2022,1,800,Metals
1008424,test 2,4/3/2022,5/4/2022,2,555,Machinery
1008425,test 3,5/3/2022,6/4/2022,3,444,Machinery
1008426,test 4,6/3/2022,7/4/2022,4,10000,Instrument/Electrical
1008427,test 5,7/3/2022,8/4/2022,5,300,Metals
1008428,test 6,8/3/2022,9/4/2022,6,800,Metals
1008429,test 7,9/3/2022,10/4/2022,7,800,Instrument/Electrical
1008430,test 8,10/3/2022,11/4/2022,8,500,Instrument/Electrical
1008431,test 9,11/3/2022,12/4/2022,9,800,Machinery
1008432,test 10,12/3/2022,13/4/2022,10,429,Metals
1008433,test 11,13/3/2022,14/4/2022,11,200,Metals
1008434,test 12,14/3/2022,15/4/2022,12,368,Metals
